#
#  chlamycyc 8.0 Genes link table generated on Fri Jun 29, 2018
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
CHLREDRAFT_54440	Q6QIV8	NUOB12	
CHLREDRAFT_134235	P12113	ATPC	
GIO2-956		Cre16.g666334	
GIO2-1136		Cre01.g028950	
GIO2-5065		Cre04.g219450	
GIO2-4542		Cre02.g120150	
GIO2-1249		Cre10.g448650	
GIO2-3451		Cre03.g190500	
CHREPMP01	Q36954	cob	
GIO2-1542		Cre11.g477625	
GIO2-3039		Cre09.g408600	
GIO2-5047		Cre06.g300100	
GIO2-1274		Cre11.g483400	
GIO2-1143		Cre06.g265950	
GIO2-654		Cre03.g176900	
GIO2-1400		Cre08.g358538	
GIO2-1115		Cre02.g107600	
GIO2-4546		Cre02.g143250	
GIO2-5258		Cre06.g258733	
GIO2-454		Cre04.g213100	
GIO2-1090		Cre01.g033091	
GIO2-1660		Cre03.g150950	
GIO2-3592		Cre03.g180600	
GIO2-1025		Cre03.g155051	
GIO2-5305		Cre13.g586450	
GIO2-5338		Cre07.g325717	
GIO2-1067		Cre03.g190750	
GIO2-5248		Cre03.g159400	
GIO2-1192		Cre03.g162900	
GIO2-3601		Cre16.g664250	
GIO2-2518		Cre17.g717350	
GIO2-1347		Cre07.g338451	
GIO2-1878		Cre03.g157000	
GIO2-4991		Cre17.g739550	
GIO2-920		Cre02.g083450	
GIO2-1425		Cre12.g550200	
GIO2-4611		Cre17.g734100	
GIO2-5013		Cre10.g422201	
GIO2-985		Cre09.g414900	
GIO2-1580		Cre16.g695800	
GIO2-1599		Cre03.g200879	
GIO2-2063		Cre07.g332100	
GIO2-1175		Cre08.g358525	
GIO2-755		Cre10.g426152	
GIO2-1855		Cre04.g230732	
GIO2-1874		Cre12.g548050	
GIO2-4963		Cre17.g734612	
GIO2-627		Cre17.g713850	
GIO2-371		Cre11.g467651	
GIO2-1559		Cre01.g035100	
GIO2-1503		Cre03.g162601	
GIO2-1899	I2CYZ4	&Delta;4FAD	
GIO2-1212		Cre02.g086000	
GIO2-685		Cre09.g397882	
GIO2-1483		Cre01.g029750	
GIO2-837		Cre06.g259401	
GIO2-533		Cre13.g580300	
GIO2-1037		Cre17.g738250	
GIO2-3570		Cre10.g456000	
GIO2-1536		Cre01.g032600	
GIO2-1361		Cre03.g209393	
GIO2-291		Cre16.g648700	
GIO2-3608		Cre07.g331800	
GIO2-5110		Cre10.g426350	
GIO2-615		Cre12.g520700	
GIO2-2683		Cre10.g459200	
GIO2-980		Cre06.g296050	
GIO2-617		Cre14.g613950	
GIO2-544		Cre02.g103000	
CHLREDRAFT_59411	Q6V504	NUOA8	
GIO2-1761		Cre06.g278109	
GIO2-5148		Cre16.g684750	
GIO2-2313		Cre04.g228150	
GIO2-4913		Cre12.g559950	
GIO2-3068		Cre06.g259900	
GIO2-930		Cre05.g245550	
GIO2-633		Cre02.g095141	
GIO2-4229		Cre02.g079700	
GIO2-3584		Cre12.g484750	
GIO2-4797		Cre06.g255300	
CHLREDRAFT_56668	O48663	DES6	
GIO2-770		Cre06.g257050	
GIO2-1046		Cre01.g043100	
GIO2-3647		Cre16.g671400	
GIO2-2016		Cre09.g389763	
GIO2-992		Cre10.g451100	
GIO2-4632		Cre13.g590500	
GIO2-2858		Cre03.g168900	
GIO2-5146		Cre13.g579566	
GIO2-1565		Cre12.g511200	
CHLREDRAFT_170417	A8IPZ9	DUR3C	
GIO2-3628		Cre02.g076800	
GIO2-5003		Cre06.g292100	
CHLREDRAFT_59366	A8JC42	ATPvG	
GIO2-652		Cre09.g394436	
GIO2-5200		Cre03.g155200	
GIO2-3993		Cre17.g724600	
GIO2-3861		Cre03.g173800	
GIO2-3962		Cre02.g114650	
CHLREDRAFT_152682		ASA3	
GIO2-252		Cre14.g621650	
GIO2-1764		Cre03.g193300	
GIO2-854		Cre09.g403034	
CHLREDRAFT_132530	A8JE91	CPN60B1	
GIO2-415		Cre03.g171050	
CHRECP053	Q37304	atpH	
GIO2-1886		Cre01.g006950	
GIO2-4176		Cre12.g547351	
