CHLREDRAFT_184071-MONOMER	CHLREDRAFT_184071	Q8S3T8	Major light-harvesting complex II protein m7	
GIO2-1670-MONOMER	GIO2-1670		Cre12.g531250.t1.1	
GIO2-1261-MONOMER	GIO2-1261		Cre17.g721350.t1.2	
GIO2-1896-MONOMER	GIO2-1896		Cre10.g429150.t1.2	
CHLREDRAFT_131464-MONOMER	CHLREDRAFT_131464	A8J843	131464	131464
MONOMERIO2-7	GIO2-1898	Q9FVE2		
CHLREDRAFT_195711-MONOMER	CHLREDRAFT_195711	A8JGD2	195711	195711
GIO2-798-MONOMER	GIO2-798		Cre11.g467539.t1.1	
CHLREDRAFT_184471-MONOMER	CHLREDRAFT_184471	A8J249	184471	184471
MONOMER4LZ-7043			urea transporter	
GIO2-4546-MONOMER	GIO2-4546		Cre02.g143250.t1.2	
GIO2-2371-MONOMER	GIO2-2371		Cre07.g347100.t1.2	
GIO2-614-MONOMER	GIO2-614		Cre07.g325720.t1.1	
GIO2-1869-MONOMER	GIO2-1869		Cre16.g684550.t1.1	
CHLREDRAFT_57090-MONOMER	CHLREDRAFT_57090	Q6UKY9	57090	57090
GIO2-4797-MONOMER	GIO2-4797		Cre06.g255300.t1.2	
GIO2-1563-MONOMER	GIO2-1563		Cre01.g055408.t1.1	
GIO2-1112-MONOMER	GIO2-1112		Cre03.g175100.t1.1	
GIO2-543-MONOMER	GIO2-543		Cre13.g579500.t1.2	
GIO2-1840-MONOMER	GIO2-1840		Cre17.g702900.t1.2	
GIO2-2542-MONOMER	GIO2-2542		Cre03.g207800.t1.2	
GIO2-3668-MONOMER	GIO2-3668		Cre12.g541352.t1.1	
GIO2-1500-MONOMER	GIO2-1500		Cre09.g393765.t1.1	
GIO2-4990-MONOMER	GIO2-4990		Cre01.g050050.t1.2	
GIO2-3535-MONOMER	GIO2-3535		Cre08.g373550.t1.2	
GIO2-373-MONOMER	GIO2-373		Cre06.g309826.t1.1	
GIO2-5114-MONOMER	GIO2-5114		Cre11.g476650.t1.1	
GIO2-3685-MONOMER	GIO2-3685		Cre06.g285150.t1.2	
GIO2-1510-MONOMER	GIO2-1510		Cre07.g323750.t1.1	
GIO2-4787-MONOMER	GIO2-4787		Cre04.g227400.t1.2	
GIO2-4202-MONOMER	GIO2-4202		144056	144056, Cre03.g165100.t1.2
CHLREDRAFT_192510-MONOMER	CHLREDRAFT_192510	A8J6P8	192510	192510
GIO2-4817-MONOMER	GIO2-4817		Cre10.g455650.t1.2	
GIO2-5137-MONOMER	GIO2-5137		Cre03.g146187.t1.1	
GIO2-271-MONOMER	GIO2-271		Cre07.g325730.t1.1	
GIO2-1434-MONOMER	GIO2-1434		Cre14.g614750.t1.1	
GIO2-5126-MONOMER	GIO2-5126		Cre13.g590600.t1.1	
GIO2-751-MONOMER	GIO2-751		Cre02.g101000.t1.1	
GIO2-3462-MONOMER	GIO2-3462		Cre09.g396650.t1.2	
GIO2-1308-MONOMER	GIO2-1308		Cre16.g677050.t1.1	
GIO2-1428-MONOMER	GIO2-1428		Cre07.g354550.t1.1	
GIO2-1969-MONOMER	GIO2-1969		Cre13.g573800.t1.2	
GIO2-504-MONOMER	GIO2-504		Cre06.g251650.t1.1	
GIO2-2962-MONOMER	GIO2-2962		Cre02.g088650.t1.2	
GIO2-1882-MONOMER	GIO2-1882		Cre11.g474850.t1.1	
GIO2-2108-MONOMER	GIO2-2108		Cre10.g458500.t1.2	
GIO2-2661-MONOMER	GIO2-2661		Cre03.g159500.t1.2	
GIO2-1866-MONOMER	GIO2-1866		Cre16.g678997.t1.1	
GIO2-4247-MONOMER	GIO2-4247		Cre06.g290200.t1.2	
GIO2-4924-MONOMER	GIO2-4924		Cre07.g314866.t1.1	
GIO2-305-MONOMER	GIO2-305		Cre08.g359500.t1.1	
GIO2-907-MONOMER	GIO2-907		Cre12.g532200.t1.1	
GIO2-4292-MONOMER	GIO2-4292		Cre07.g320850.t1.2	
GIO2-2367-MONOMER	GIO2-2367		Cre02.g087700.t1.2	
GIO2-1496-MONOMER	GIO2-1496		Cre01.g027800.t1.2	
GIO2-678-MONOMER	GIO2-678		Cre12.g496700.t1.2	
CHLREDRAFT_194337-MONOMER	CHLREDRAFT_194337	Q6IYG1	194337	194337
